"couple"	"ppnr"	"beepnr"	"DayESM"	"happy"	"relaxed"	"enact_respons"	"together_0"	"together_1"
14	14	21	3	63	82	79	NA	1
14	14	22	3	81	82	74	NA	1
14	14	23	3	84	70	75	NA	1
14	14	24	3	55	46	74	NA	1
14	14	25	3	76	69	77	NA	1
14	14	26	3	71	86	79	NA	1
14	14	27	3	78	72	77	NA	1
14	14	28	3	63	60	79	NA	1
14	14	29	3	70	72	78	NA	1
14	14	30	3	46	54	79	1	NA
14	14	31	3	50	39	86	1	NA
14	14	32	3	55	50	85	1	NA
14	14	33	4	NA	NA	NA	NA	NA
14	14	34	4	NA	NA	NA	NA	NA
14	14	35	4	45	50	86	1	NA
14	14	36	4	NA	NA	NA	NA	NA
14	14	37	4	59	64	87	1	NA
14	14	38	4	66	76	92	1	NA
14	14	39	5	NA	NA	NA	NA	NA
14	14	40	5	74	70	82	1	NA
14	14	41	5	75	80	83	1	NA
14	14	42	5	68	52	83	1	NA
14	14	43	5	56	71	83	1	NA
14	14	44	5	57	60	82	1	NA
14	14	45	6	54	49	83	1	NA
14	14	46	6	26	92	92	1	NA
14	14	47	6	NA	NA	NA	NA	NA
14	14	48	6	61	51	85	1	NA
14	14	49	6	53	58	85	1	NA
14	14	50	6	64	61	90	1	NA
14	14	51	7	43	48	79	1	NA
14	14	52	7	53	52	66	1	NA
14	14	53	7	60	64	83	1	NA
14	14	54	7	68	71	91	NA	1
14	14	55	7	74	78	92	NA	1
14	14	56	7	89	70	97	NA	1
14	14	57	8	75	56	78	1	NA
14	14	58	8	NA	NA	NA	NA	NA
14	14	59	8	NA	NA	NA	NA	NA
14	14	60	8	NA	NA	NA	NA	NA
14	14	61	8	NA	NA	NA	NA	NA
14	14	62	8	NA	NA	NA	NA	NA
15	15	1	1	65	59	95	NA	1
15	15	2	2	51	50	80	NA	1
15	15	3	2	60	72	76	NA	1
15	15	4	2	76	80	78	NA	1
15	15	5	2	NA	NA	NA	NA	NA
15	15	6	2	82	81	85	NA	1
15	15	7	2	92	100	100	NA	1
15	15	8	2	79	89	90	NA	1
15	15	9	2	86	87	88	NA	1
15	15	10	2	76	6	93	NA	1
15	15	11	2	60	45	87	NA	1
15	15	12	2	77	78	80	NA	1
15	15	13	2	84	79	93	NA	1
15	15	14	2	92	90	94	NA	1
15	15	15	2	93	98	89	NA	1
15	15	16	3	94	93	89	NA	1
15	15	17	3	NA	NA	NA	NA	NA
15	15	18	3	NA	NA	NA	NA	NA
15	15	19	3	NA	NA	NA	NA	NA
15	15	20	3	NA	NA	NA	NA	NA
15	15	21	3	NA	NA	NA	NA	NA
15	15	22	3	NA	NA	NA	NA	NA
15	15	23	3	NA	NA	NA	NA	NA
15	15	24	3	NA	NA	NA	NA	NA
15	15	25	3	98	94	92	NA	1
15	15	26	3	38	20	68	NA	1
15	15	27	3	32	38	66	NA	1
15	15	28	3	63	59	89	NA	1
15	15	29	3	100	100	97	NA	1
15	15	30	4	NA	NA	NA	NA	NA
15	15	31	4	96	96	88	NA	1
15	15	32	4	97	98	94	NA	1
15	15	33	4	90	95	88	1	NA
15	15	34	4	78	89	88	1	NA
15	15	35	4	75	68	88	1	NA
15	15	36	5	97	91	88	1	NA
15	15	37	5	90	91	98	1	NA
15	15	38	5	74	77	84	NA	1
15	15	39	5	73	73	83	1	NA
15	15	40	5	78	94	86	1	NA
15	15	41	5	59	58	75	NA	1
15	15	42	6	80	85	84	NA	1
15	15	43	6	90	91	88	NA	1
15	15	44	6	88	84	79	NA	1
15	15	45	6	93	91	86	NA	1
15	15	46	6	88	87	79	NA	1
15	15	47	6	90	91	83	NA	1
15	15	48	7	59	50	92	1	NA
15	15	49	7	46	48	75	1	NA
15	15	50	7	52	36	85	1	NA
15	15	51	7	70	49	86	1	NA
15	15	52	7	47	56	88	1	NA
15	15	53	7	67	46	83	NA	1
15	15	54	8	86	91	87	1	NA
15	15	55	8	79	78	90	1	NA
15	15	56	8	90	90	89	1	NA
15	15	57	8	88	91	86	1	NA
15	15	58	8	90	88	90	1	NA
15	15	59	8	92	88	90	1	NA
16	16	1	5	78	78	100	NA	1
16	16	2	5	97	88	100	NA	1
16	16	3	5	76	55	100	1	NA
16	16	4	5	86	87	88	1	NA
16	16	5	5	86	82	88	1	NA
16	16	6	5	80	83	71	1	NA
16	16	7	6	70	72	100	NA	1
16	16	8	6	50	31	100	NA	1
16	16	9	6	83	85	80	NA	1
16	16	10	6	100	100	100	NA	1
16	16	11	6	95	96	100	NA	1
16	16	12	6	85	100	100	NA	1
